time,lat,lon,head,fix,route,stop,next,code,dev,fer
2023-11-01 07:04:17,64.140873333,-21.923533333,328.47,2,5,90000831,90000832,6,0207,5-A
2023-11-01 00:00:04,64.123835000,-21.821116667,86.07,2,5,90000018,90000398,6,0207,5-A
2023-11-01 00:00:14,64.123833333,-21.821133333,86.07,2,5,90000018,90000398,6,0207,5-A
2023-11-01 00:00:23,64.123833333,-21.821133333,86.07,2,5,90000018,90000398,6,0207,5-A
2023-11-01 00:00:35,64.123833333,-21.821133333,86.07,2,5,90000018,90000398,6,0207,5-A
2023-11-01 00:00:45,64.123833333,-21.821116667,86.07,2,5,90000018,90000398,6,0207,5-A
2023-11-01 00:00:54,64.123833333,-21.821116667,86.07,2,5,90000018,90000398,6,0207,5-A
2023-11-01 00:01:06,64.123835000,-21.821116667,86.07,2,5,90000018,90000398,6,0207,5-A
2023-11-01 00:01:15,64.123835000,-21.821116667,86.07,2,5,90000018,90000398,6,0207,5-A
2023-11-01 00:01:25,64.123835000,-21.821116667,86.07,2,5,90000018,90000398,6,0207,5-A
2023-11-01 00:01:37,64.123835000,-21.821100000,86.07,2,5,90000018,90000398,6,0207,5-A
2023-11-01 00:01:46,64.123835000,-21.821100000,86.07,2,5,90000018,90000398,6,0207,5-A
2023-11-01 00:01:55,64.123835000,-21.821100000,86.07,2,5,90000018,90000398,6,0207,5-A
2023-11-01 00:02:07,64.123835000,-21.821116667,86.07,2,5,90000018,90000398,6,0207,5-A
2023-11-01 00:02:17,64.123835000,-21.821100000,86.07,2,5,90000018,90000398,6,0207,5-A
2023-11-01 00:02:28,64.123835000,-21.821083333,86.07,2,5,90000018,90000398,6,0207,5-A
2023-11-01 00:02:38,64.123835000,-21.821083333,86.07,2,5,90000018,90000398,6,0207,5-A
2023-11-01 00:02:47,64.123835000,-21.821066667,86.07,2,5,90000018,90000398,6,0207,5-A
2023-11-01 00:02:59,64.123836667,-21.821050000,86.07,2,5,90000018,90000398,6,0207,5-A
2023-11-01 00:03:09,64.123836667,-21.821033333,86.07,2,5,90000018,90000398,6,0207,5-A
2023-11-01 00:03:18,64.123836667,-21.821033333,86.07,2,5,90000018,90000398,6,0207,5-A
2023-11-01 00:03:30,64.123836667,-21.821016667,86.07,2,5,90000018,90000398,6,0207,5-A
2023-11-01 00:03:39,64.123836667,-21.821016667,86.07,2,5,90000018,90000398,6,0207,5-A
2023-11-01 00:03:51,64.123836667,-21.821016667,86.07,2,5,90000018,90000398,6,0207,5-A
2023-11-01 00:04:00,64.123836667,-21.821033333,86.07,2,5,90000018,90000398,6,0207,5-A
2023-11-01 00:04:10,64.123838333,-21.821016667,86.07,2,5,90000018,90000398,6,0207,5-A
2023-11-01 00:04:22,64.123843333,-21.820983333,74.84,2,5,90000018,90000398,3,0207,5-A
2023-11-01 00:04:31,64.123913333,-21.819950000,86.04,2,5,90000018,90000398,6,0207,5-A
2023-11-01 00:04:40,64.123951667,-21.817616667,90.16,2,5,90000018,90000398,6,0207,5-A
2023-11-01 00:04:52,64.123883333,-21.814683333,97.06,2,5,90000018,90000398,6,0207,5-A
2023-11-01 00:05:02,64.123781667,-21.812483333,98.72,2,5,90000018,90000398,6,0207,5-A
