service_id,date,exception_type
20220522_MTWTF--_1,20230901,1
20220522_MTWTF--_2,20230901,1
20220522_MTWTF--_3,20230901,1
20220904_----F--_8,20230901,1
20220904_M-W-F--_11,20230901,1
20220904_M-WTF--_22,20230901,1
20220904_MT--F--_12,20230901,1
20220904_MT-TF--_13,20230901,1
20220904_MTW-F--_14,20230901,1
20220904_MTWTF--_16,20230901,1
20220904_MTWTF--_20,20230901,1
20220904_MTWTF--_28,20230901,1
20220904_MTWTF--_80,20230901,1
20220905_MTWTF--_29,20230901,1
20220905_MTWTF--_38,20230901,1
20230820_----F--_41,20230901,1
20230820_MTWTF--_42,20230901,1
20230821_MTWTF--_48,20230901,1
20230821_MTWTF--_49,20230901,1
20230823_MTWTF--_72,20230901,1
20230831_----F--_74,20230901,1
20220522_-----S-_5,20230902,1
20220904_-----S-_18,20230902,1
20220904_-----S-_27,20230902,1
20220904_-----S-_7,20230902,1
20230820_-----S-_40,20230902,1
20230820_-----S-_44,20230902,1
20230821_-----S-_50,20230902,1
20220522_------S_4,20230903,1
20220904_------S_17,20230903,1
20220904_------S_19,20230903,1
20220904_------S_21,20230903,1
20230820_------S_39,20230903,1
20230820_------S_43,20230903,1
20230831_------S_73,20230903,1
20220522_MTWTF--_1,20230904,1
20220522_MTWTF--_2,20230904,1
20220522_MTWTF--_3,20230904,1
20220904_M-W-F--_11,20230904,1
20220904_M-WTF--_22,20230904,1
20220904_MT--F--_12,20230904,1
20220904_MT-TF--_13,20230904,1
20220904_MTW-F--_14,20230904,1
20220904_MTWT---_15,20230904,1
20220904_MTWTF--_16,20230904,1
20220904_MTWTF--_20,20230904,1
20220904_MTWTF--_28,20230904,1
20220904_MTWTF--_80,20230904,1
20220905_MTWTF--_29,20230904,1
20220905_MTWTF--_38,20230904,1
20230820_MTWTF--_42,20230904,1
20230821_MTWTF--_48,20230904,1
20230821_MTWTF--_49,20230904,1
20230823_MTWTF--_72,20230904,1
20220522_MTWTF--_1,20230905,1
20220522_MTWTF--_2,20230905,1
20220522_MTWTF--_3,20230905,1
20220904_-T-----_24,20230905,1
20220904_MT--F--_12,20230905,1
20220904_MT-TF--_13,20230905,1
20220904_MTW-F--_14,20230905,1
20220904_MTWT---_15,20230905,1
20220904_MTWTF--_16,20230905,1
20220904_MTWTF--_20,20230905,1
20220904_MTWTF--_28,20230905,1
20220904_MTWTF--_80,20230905,1
20220905_MTWTF--_29,20230905,1
20220905_MTWTF--_38,20230905,1
20230820_MTWTF--_42,20230905,1
20230821_MTWTF--_48,20230905,1
20230821_MTWTF--_49,20230905,1
20230823_MTWTF--_72,20230905,1
20220522_MTWTF--_1,20230906,1
20220522_MTWTF--_2,20230906,1
20220522_MTWTF--_3,20230906,1
20220904_--W----_71,20230906,1
20220904_--WT---_10,20230906,1
20220904_M-W-F--_11,20230906,1
20220904_M-WTF--_22,20230906,1
20220904_MTW-F--_14,20230906,1
20220904_MTWT---_15,20230906,1
20220904_MTWTF--_16,20230906,1
20220904_MTWTF--_20,20230906,1
20220904_MTWTF--_28,20230906,1
20220904_MTWTF--_80,20230906,1
20220905_MTWTF--_29,20230906,1
20220905_MTWTF--_38,20230906,1
20230820_MTWTF--_42,20230906,1
20230821_MTWTF--_48,20230906,1
20230821_MTWTF--_49,20230906,1
20230823_MTWTF--_72,20230906,1
20220522_MTWTF--_1,20230907,1
20220522_MTWTF--_2,20230907,1
20220522_MTWTF--_3,20230907,1
20220904_---T---_9,20230907,1
20220904_--WT---_10,20230907,1
20220904_M-WTF--_22,20230907,1
20220904_MT-TF--_13,20230907,1
20220904_MTWT---_15,20230907,1
20220904_MTWTF--_16,20230907,1
20220904_MTWTF--_20,20230907,1
20220904_MTWTF--_28,20230907,1
20220904_MTWTF--_80,20230907,1
20220905_MTWTF--_29,20230907,1
20220905_MTWTF--_38,20230907,1
20230820_MTWTF--_42,20230907,1
20230821_MTWTF--_48,20230907,1
20230821_MTWTF--_49,20230907,1
20230823_MTWTF--_72,20230907,1
20220522_MTWTF--_1,20230908,1
20220522_MTWTF--_2,20230908,1
20220522_MTWTF--_3,20230908,1
20220904_----F--_8,20230908,1
20220904_M-W-F--_11,20230908,1
20220904_M-WTF--_22,20230908,1
20220904_MT--F--_12,20230908,1
20220904_MT-TF--_13,20230908,1
20220904_MTW-F--_14,20230908,1
20220904_MTWTF--_16,20230908,1
20220904_MTWTF--_20,20230908,1
20220904_MTWTF--_28,20230908,1
20220904_MTWTF--_80,20230908,1
20220905_MTWTF--_29,20230908,1
20220905_MTWTF--_38,20230908,1
20230820_----F--_41,20230908,1
20230820_MTWTF--_42,20230908,1
20230821_MTWTF--_48,20230908,1
20230821_MTWTF--_49,20230908,1
20230823_MTWTF--_72,20230908,1
20230831_----F--_74,20230908,1
20220522_-----S-_5,20230909,1
20220904_-----S-_18,20230909,1
20220904_-----S-_27,20230909,1
20220904_-----S-_7,20230909,1
20230820_-----S-_40,20230909,1
20230820_-----S-_44,20230909,1
20230821_-----S-_50,20230909,1
20220522_------S_4,20230910,1
20220904_------S_17,20230910,1
20220904_------S_19,20230910,1
20220904_------S_21,20230910,1
20230820_------S_39,20230910,1
20230820_------S_43,20230910,1
20230831_------S_73,20230910,1
20220522_MTWTF--_1,20230911,1
20220522_MTWTF--_2,20230911,1
20220522_MTWTF--_3,20230911,1
20220904_M-W-F--_11,20230911,1
20220904_M-WTF--_22,20230911,1
20220904_MT--F--_12,20230911,1
20220904_MT-TF--_13,20230911,1
20220904_MTW-F--_14,20230911,1
20220904_MTWT---_15,20230911,1
20220904_MTWTF--_16,20230911,1
20220904_MTWTF--_20,20230911,1
20220904_MTWTF--_28,20230911,1
20220904_MTWTF--_80,20230911,1
20220905_MTWTF--_29,20230911,1
20220905_MTWTF--_38,20230911,1
20230820_MTWTF--_42,20230911,1
20230821_MTWTF--_48,20230911,1
20230821_MTWTF--_49,20230911,1
20230823_MTWTF--_72,20230911,1
20220522_MTWTF--_1,20230912,1
20220522_MTWTF--_2,20230912,1
20220522_MTWTF--_3,20230912,1
20220904_-T-----_24,20230912,1
20220904_MT--F--_12,20230912,1
20220904_MT-TF--_13,20230912,1
20220904_MTW-F--_14,20230912,1
20220904_MTWT---_15,20230912,1
20220904_MTWTF--_16,20230912,1
20220904_MTWTF--_20,20230912,1
20220904_MTWTF--_28,20230912,1
20220904_MTWTF--_80,20230912,1
20220905_MTWTF--_29,20230912,1
20220905_MTWTF--_38,20230912,1
20230820_MTWTF--_42,20230912,1
20230821_MTWTF--_48,20230912,1
20230821_MTWTF--_49,20230912,1
20230823_MTWTF--_72,20230912,1
20220522_MTWTF--_1,20230913,1
20220522_MTWTF--_2,20230913,1
20220522_MTWTF--_3,20230913,1
20220904_--W----_71,20230913,1
20220904_--WT---_10,20230913,1
20220904_M-W-F--_11,20230913,1
20220904_M-WTF--_22,20230913,1
20220904_MTW-F--_14,20230913,1
20220904_MTWT---_15,20230913,1
20220904_MTWTF--_16,20230913,1
20220904_MTWTF--_20,20230913,1
20220904_MTWTF--_28,20230913,1
20220904_MTWTF--_80,20230913,1
20220905_MTWTF--_29,20230913,1
20220905_MTWTF--_38,20230913,1
20230820_MTWTF--_42,20230913,1
20230821_MTWTF--_48,20230913,1
20230821_MTWTF--_49,20230913,1
20230823_MTWTF--_72,20230913,1
20220522_MTWTF--_1,20230914,1
20220522_MTWTF--_2,20230914,1
