"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"ICM00004130","REYKJAVIK, IC","64.133","-21.9","53.0","2023-10-01",,,,,"10.0","H,,S","12.0",",,S","6.9",",,S"
"ICM00004130","REYKJAVIK, IC","64.133","-21.9","53.0","2023-10-02",,,,,"8.3","H,,S","11.0",",,S","6.2",",,S"
"ICM00004130","REYKJAVIK, IC","64.133","-21.9","53.0","2023-10-03",,,,,"6.4","H,,S","8.8",",,S","4.7",",,S"
"ICM00004130","REYKJAVIK, IC","64.133","-21.9","53.0","2023-10-04",,,,,"6.5","H,,S","9.0",",,S","4.5",",,S"
"ICM00004130","REYKJAVIK, IC","64.133","-21.9","53.0","2023-10-05",,,,,"4.9","H,,S","6.6",",,S","3.0",",,S"
"ICM00004130","REYKJAVIK, IC","64.133","-21.9","53.0","2023-10-06",,,,,"4.4","H,,S","6.9",",,S","0.4",",,S"
"ICM00004130","REYKJAVIK, IC","64.133","-21.9","53.0","2023-10-07",,,,,"2.7","H,,S","7.3",",,S","-2.0",",,S"
"ICM00004130","REYKJAVIK, IC","64.133","-21.9","53.0","2023-10-08",,,,,"7.6","H,,S","9.1",",,S","5.4",",,S"
"ICM00004130","REYKJAVIK, IC","64.133","-21.9","53.0","2023-10-09",,,,,"7.2","H,,S","8.3",",,S","3.7",",,S"
"ICM00004130","REYKJAVIK, IC","64.133","-21.9","53.0","2023-10-10",,,,,"3.4","H,,S","4.7",",,S","2.3",",,S"
"ICM00004130","REYKJAVIK, IC","64.133","-21.9","53.0","2023-10-11",,,,,"3.1","H,,S","4.5",",,S",,
"ICM00004130","REYKJAVIK, IC","64.133","-21.9","53.0","2023-10-12",,,,,"2.7","H,,S","4.8",",,S","0.6",",,S"
"ICM00004130","REYKJAVIK, IC","64.133","-21.9","53.0","2023-10-13",,,,,"0.9","H,,S","3.4",",,S","-0.3",",,S"
